Id,GeographicCode,GeographicName,CSDType,ProvinceTerritory,GeographicCodeProvinceTerritory,GeographicCodeCensusDivision,Population2016,Population2011,PopulationPercentChange,TotalPrivateDwellings2016,TotalPrivateDwellings2011,TotalPrivateDwellingsPercentChange,PrivateDwellingsOccupiedByUsualResidents2016,PrivateDwellingsOccupiedByUsualResidents2011,PrivateDwellingsOccupiedByUsualResidentsPercentChange,LandAreaInSquareKilometres2016,PopulationDensityPerSquareKilometre2016,NationalPopulationRank2016,ProvincialTerritorialPopulationRank2016
NaN,1001517,Paradise,Town,Newfoundland and Labrador,10,1001,21389,17695,20.9,8662,6906,25.4,8038,6499,23.7,29.58,723,195,4
NaN,3507015,Brockville,City,Ontario,35,3507,21346,21870,-2.4,10826,10645,1.7,10266,10228,0.4,20.85,1023.6,196,75
NaN,3542059,Owen Sound,City,Ontario,35,3542,21341,21688,-1.6,10098,10109,-0.1,9630,9607,0.2,24.27,879.2,197,76
Varennes-QC,2459020,Varennes,Ville,Quebec,24,2459,21257,20994,1.3,8315,8001,3.9,8161,7894,3.4,94.41,225.2,198,51
NaN,3518029,Uxbridge,Township,Ontario,35,3518,21176,20623,2.7,7946,7634,4.1,7663,7345,4.3,420.95,50.3,199,77
NaN,3543021,Essa,Township,Ontario,35,3543,21083,18505,13.9,7478,6930,7.9,7179,6408,12,280.03,75.3,200,78
NaN,2467020,Candiac,Ville,Quebec,24,2467,21047,19876,5.9,7925,7580,4.6,7832,7421,5.5,17.31,1215.8,201,52
NaN,3543023,Oro-Medonte,Township,Ontario,35,3543,21036,20078,4.8,9013,8565,5.2,7989,7476,6.9,587.08,35.8,202,79
NaN,3539015,Strathroy-Caradoc,Municipality,Ontario,35,3539,20867,20978,-0.5,8455,8162,3.6,8294,7967,4.1,270.77,77.1,203,80
Saint-Lin-Laurentides-QC,2463048,Saint-Lin-Laurentides,Ville,Quebec,24,2463,20786,17463,19,8376,6972,20.1,8083,6618,22.1,118.36,175.6,204,53
NaN,3543064,Wasaga Beach,Town,Ontario,35,3543,20675,17537,17.9,12516,11645,7.5,9005,7573,18.9,58.64,352.6,205,81
NaN,3530020,Wilmot,Township,Ontario,35,3530,20545,19223,6.9,7612,7158,6.3,7516,6963,7.9,263.78,77.9,206,82
NaN,4811059,Sturgeon County,Municipal district,Alberta,48,4811,20495,19578,4.7,7337,6915,6.1,6870,6546,4.9,2090.13,9.8,207,20
NaN,2461025,Joliette,Ville,Quebec,24,2461,20484,19621,4.4,10285,9919,3.7,9778,9437,3.6,22.97,891.8,208,54
NaN,3537016,Essex,Town,Ontario,35,3537,20427,19600,4.2,8694,8450,2.9,8080,7793,3.7,277.97,73.5,209,83
NaN,2466032,Westmount,Ville,Quebec,24,2466,20312,19931,1.9,9617,9452,1.7,8685,8637,0.6,4.04,5024.9,210,55
NaN,2466072,Mont-Royal,Ville,Quebec,24,2466,20276,19503,4,7914,7391,7.1,7373,7049,4.6,7.53,2691,211,56
Fort-St-John-BC,5955034,Fort St. John,City,British Columbia,59,5955,20155,18609,8.3,9480,8239,15.1,7937,7480,6.1,26.27,767.3,212,32
NaN,2466102,Kirkland,Ville,Quebec,24,2466,20151,21253,-5.2,6779,6921,-2.1,6682,6828,-2.1,9.63,2092.8,213,57
NaN,5901022,Cranbrook,City,British Columbia,59,5901,20047,19319,3.8,8799,8509,3.4,8545,8141,5,32,626.6,214,33
